,reviews
10,"
For 25$ you get the performance of AirPods and they don’t look like a cheap knockoff, they look slick not bulky at all.
"
11,"
I don't normally do reviews of items, but I felt like giving my honest opinions on these.they are close in size to the Galexy buds by Samsung (yes- i misspelled galexy in the picture, please bear with me- I was sleepy.)but the shape mimics apples airpods. (sort of.)from the picture you can tell they have a flat back to them, and are a bit longer than standard airpods, though neither of these details bother me- as I bought these for their budget friendly pricing, and that niche desire for black airpods without paying a fortune for custom painting or trying my hand at doing it myself.the earbuds themselves are a glossy black- while the case is a matte black plastic, the lid lip is a bit difficult to open, but not enough to be noticable, and the bump in the middle is a pairing button used to hold down- where an LED will let you know by flashing white, that it is in pairing mode.However, I would say the main detail I feel is important to highlight here though, is the sound quality.now- its nothing special. The highs and mids are acceptable, they sound very open but not 'tinny', the bass is, well- there isn't very much bass sadly, and when your volume is all the way up, you can hear audio leaking from them, but overall- for the price, i would say they are worth it.now I haven't seen just how long these can run for, but as far as I can tell, they should be fine for extended periods of listening to music, and I've done my best to Not get them wet. I wouldn't try to use them in the shower, but maybe that is just me being a bit too cautious.my only gripe- is the lack of options to customize the imput for the devices.There is not an interface to change the tap input, so if that is somehow a deal breaker for you- there are other, albeit probably more expensive, options out there for you to try.I would recommend these to people looking to save their money, to listen to music while studying, to android users as I don't know how well they play with apple, and to people who want a plug and play experience.Hope this helps anyone looking for details in the future.
"
12,"
I've bought 3 pairs of these now. Each one broke after about 5 months. At first I thought it was a one-off, but now I realize it's a pattern. I bought these as inexpensive earbuds for the gym since I didn't want to ruin my airpods. But at this point, it'll be more cost-effective in the long-run to buy a separate set of airpods to use at the gym. Wanted to love these, but can't justify the poor quality.
"
13,"
Came back to double-check if they were waterproof (apparently they are, I will make sure to personally check that in a bit) and just decided to write a review since I'm already here.These earbuds aren't bad, life lasts a while although I have started to notice their battery expectancy is slowly decreasing but eh, I'm not going to die.A con I didn't really notice until having them is not being able to tell their battery percentage. Tad annoying, but I'll live.Oh! When they are dying and you hear the lady speaking, it barely gives you more than a minute or so to actually do something. They tend to shut down very fast after that.Hope this helps, even if a bit. Have a good day!
"
14,"
Updated Post: I received a replacement that came with additional instructions aside from the booklet instructions that comes with the earbuds. I was able to connect these earbuds with no issue after following the instructions from the piece of paper that was included. These instructions are a little different from the booklet instructions. I concluded that I did not remove the film from the initial earbuds that was sent. I do not recall the booklet instructions mentioning this. So if you’re having pairing issues please remove the film before trying to pair. I will include a picture of the instructions that was included with the replacement earbuds that was sent.Original Post: Tried pairing these earbuds with five different  devices(4 phones & 1 Android), but neither picked up this device. I wanted these to work so bad even after reading reviews of issues with pairing. This was such a disappointment.  I ordered a replacement, because I like the look of these(reason for the additional star) and also because the cost of earbuds have gone back to its original price since Black Friday weekend/Cyber Monday have passed. Hopefully they test the replacement before shipping it to me.
"
15,"
Even with pack on a full charge, the buds die fast and don’t always turnoff when prompted
"
16,"
I wanted to wait before leaving a review. I've had these ear buds for a little over a month. Had to play around with them for about 10 minutes to get them to connect to my cheap android phone.They sound really good and have good bass, no complaints there.Despite being the hard plastic, they are still comfortable (my ears are on the smaller side).I use them nearly every day (for about 2 hrs average) and only need to charge about once a week . Charging the case takes a couple hours. After that, simply returning the buds to the case will charge them.I noticed after a few weeks that your phone will tell you the buds battery percentage of you pull down the drop down menu and look at your Bluetooth icon. I think that's helpful .The only issue I've had is with them not connecting right away when taking them out the case. But maybe the battery was low at that moment, not sure.In conclusion, I am happy with my purchase. I searched for so long before buying these.
"
17,"
Full disclosure these are my only BT ear buds so I have nothing to compare them to. They work well for my purposes. Phone calls are clear and people seem to hear me fine. Watching TV and movies on my phone sounds ok. The sound quality when listening to music is not that great. The range is terrible but for the money it does the job and I got used to it. The music is clear but flat no low range. Rock sounds ok but anything with bass sounds funny to me. But like I said for the money they work great. I mostly listen to podcast so no issues. Charging is quick when they run low. They seem to last 4-5 hours between charges depending on what ur doing. Range to me is just ok. I thought New BT range was supposed to be longer. I’d guess I get less than 30ft maybe 20ft. I gave 4 stars because for the cost these are a good deal. If the sound quality for music was a little better I’d give 5 stars.
"
18,"
So these are pretty cheap, and if you are like me, you go to the reviews to see if the product is good or not. And let me just say that these earbuds are perfectly priced. They have the feel of air pods (I'll let you decide if that's good or not) and have the sound quality of an average pair of earbuds. The noise cancelation isn't amazing, but these earbuds can get pretty loud so even if you are mowing the lawn you can still listen to your music with little to no problem. The battery life on mine is insane as well. I  bought them last march or so and at the time of writing this ad, I have used them almost everyday...and charged them like a total of 4 times. So for the low price of these, I really don't think they can be beat. Also, I recently was wearing them while washing dishes at work and the right earbud fell into a sink full of water, fully submerged, and yet when I pulled it out it was still playing music like nothing ever happened. 100% would recommend if you need a cheap pair of burner earbuds.
"
19,"
I normally never do reviews, but dude, I have tried so many wireless earbuds and somehow they don’t work  something. Actually just bought different ones at a store 2 weeks ago mad I can’t find receipt to return them. Finally I see these, the sound is great! They fit perfectly, not going in and out like the others. Perfect size just love them, and I like that I can change the songs without my phone just touch the side 2 seconds and it changes the song and works to go to the previous song as well. My only complaint and it’s not even bad. I’m used to be able to see if my ear phones are dying from the case with the blinking light on the outside of the case. This one is on the inside so I have to open the case to see if it’s charged. (Just got them in the mail today so maybe I can leave the case open?, the manual didn’t say) but yes, these are worth the buy! Unfortunately I can’t say about the battery life just yet but I can give an update when I find out.
"
20,"
I really liked these, sound was good and the mic worked well, they paired easily, and had really solid battery life.  Sadly, the left headphone broke after about 5 months.  I guess I got my money's worth, I used them a lot during that time and they were good while they worked, but I'm still disappointed to have to replace them so soon.
"
21,"
UPDATE:I’m still loving these 2 months later. I use these for my workouts, and sweat profusely.The microphone is better than average.Sound is good and you can use them one a time if you want to.These are easy to charge and can be saved to two devices simultaneously, however only one connection at a time.My original review had 30 likes and wanted to update my review.Also this should have a higher star rating based price and performance.ORIGINAL:I have the Airpods 2, however I can't use them for working out, as I sweat a lot and have been damaging the charging connection on the bottom of them. I do however, find the Airpod design comfortable in my ears and have been looking for some that I could use for working out. These headphones fit the bill. I was worried as some of the reviews were not 'verified purchases', however these are great. It has a strong sound base, and you don't have to turn it up all the way to get good sound (as is the case with many TWS).If the Airpods or Apple EarPods fit you well, these fit similarly.There is no lag/latency with online videos or streaming movies.The microphone is actually pretty good too (although I've only tried it on my iPhone 11's voice recorder).This is an incredible value set of Apple Airpod like headphones.This includes USB-C charging, small pocketable case and stylish headphones.Very impressed and glad I got these; I've tried too many others.Thanks.
"
22,"
I always look for cheaper bluetooth earbuds because I'm going to lose one at some point.  This set is great but has shorter battery life in the earbuds themselves than other models I've had. Luckily, I only ever use 1 at a time, so I simply have to alternate them every 3-4 hours.  At 8 hours of use per day, I can usually get a few days worth of charging from the case.  Super comfortable as well.
"
23,"
Bro these are mf amazing, for the price?? Its so good I had them for like 6 months just lost them smh and rn I just bought another pair, in all that time I dropped them so many time and all type of stuff and they stayed working perfectly fine, the battery life it’s literally insane, id just use them to workout and thats it tho like 1 and a half hours so idk how it would be for all day use but i would go hella days and maybe weeks without charging it, now sound it aint gon be crazy dont expect crazy for this price but yeah man these are like legit the best u could get for this price on my opinion. OHH LMAO AND THEY MAGNETIC TOO id stick them to stuff so cool. Just get them u wont be disappointed.
"
24,"
Sometimes you buy relatively cheap headphones thinking “well if they’re shit at least I didn’t waste too much money” AND THEN YOU GET THESE. These MFs got CHEWED ON by my puppy and they STILL WORK! And they work just as well!! Also I bought these headphones in March and so far I haven’t had to charge them??? Like??? So rad. 10/10
"
25,"
La batería dura muy poco tiempo
"
26,"
They changed the design on them!!! Originally used to just slip in the ear. Now they are bulky and have protruding rubber old school knobs that go in your ear. So uncomfortable. Used to love these and now I'm returning them and looking for a pair that was similar to the original
"
27,"
Sound: great for me... Battery life: so far doing great. Charging case: is doing a good job. Fit: hate to say it, but not as good as 🍎. A little too loose for me. But still worth keeping.
"
28,"
I have enjoyed using these earbuds. However sometimes they tend to slip out of my ear. I think this is a common issue that people have with this particular product but overall it's pretty good. I don't see myself doing heavy exercise/dynamic exercises while using this particular product very much. However if you're doing a task it doesn't require you to lower and/or raise your head quickly they're fine. Besides the question will touch features that work when they want to and my experience this product has a good bang for his buck.
"
29,"
As far as the quality of sound & noise cancellation go, I think these are great! The thing I am not happy with is that they go out a lot.  The left ear seems to loose connection a lot even though they still have a decent charge. Also what I don't like about these is there is no where to adjust the volume. I cannot find any button on these to adjust. Maybe I am missing something here because I would assume there has to be a way to adjust the volume. I kept them because I got a great deal on them but if you have to pay full price, I would keep looking.
"
30,"
In general i really like the earbuds, they can connect with android or iPhone, battery life in operation more than 2 hours in high volume, and pretty much all the day or more if it connected but not used. The charging is fast too.The only thing that's frustrates me is when i connect them, sometimes I've the left works only, and the other times the right earbud works, I've to put them in their charger, disconnect the bluetooth then connect again, this is happens frequently, other than that i really like the product.
"
31,"
I like to fall asleep to audiobooks so I needed an inexpensive pair of ear buds for sleeping.  I do not like headphones that ""suction"" into your ears and I prefer the shape of Apple's wired ear buds.  I didn't want to spend the money on AirPods, though.  These are the perfect compromise.  They do not have the greatest sound quality, but are just fine for audiobooks.  They are comfortable in my ears and do not fall out when I am sleeping.  My only complaint would be that if the battery of the headphones starts to get low during the night, the ""Battery low, please charge now"" message is loud and always wakes me up.  I would prefer more of a beep alert, but it is what it is.
"
32,"
These earbuds are kind of ""Ok"". Here's a list of pros and cons:Pros- The BEST thing about these earbuds is the fact that they activate on a double-tap, not on a single tap like all other Bluetooth earbuds. This was great for me because whenever I re-adjust the earbuds in my ears, or take my sweatshirt off they don't stop playing due to an accidental tap. A MASSIVE plus for me.- They are not in-ear, they are earbuds so they gently, but firmly, sit in the ear.- They do not fall off the ear during workouts.- Very comfortable.- They look nice and slick.- Lasting battery, no issues during 1:30h workouts.- Small carrying case.- USB-C charging, which means they charge a lot faster than with a mini-USB port.- Low price.Con- The sound quality is absolutely horrendous. There is absolutely zero bass in these earbuds. The music sounds like coming from inside a can of tomatoes, lol.The above con was the dealbreaker for me. I had to return them.If you want earbuds with all the pros mentioned above minus de con, get the TBI Pro Airpro. Those are a bit more expensive but the sound of those earbuds is no less than epic, to put it mildly: unmatched bass and excellent balance with brights (treble).
"
33,"
Left ear bud will BLAST static if you touch it in the wrong spot. This happens when you adjust the ear bud in your ear or even take it out. I already returned the first pair due to this issue and now my current pair is having this issue. Definitely would suggest that you test the left ear bud before the return window closes!!!
"
34,"
I love them. It is hard to find earbuds that fit my ears and these were perfect. They are easy to charge and easy to carry around. I wish that my left earbud still worked properly. I bought them towards the end of March 2021 and by June the bud malfunctioned. I can still hear out of it but I would have to turn the volume to maximum which then hurts my right ear, obviously. I can only use my left or my right at one time.I am not a fan of needing to push the bud into my ear If it happens to slip..because it has touch sensors that I am not utilizing so I didn't  read up on what those do exactly. I know, I'm bad! But those are my gripes.
"
35,"
Overall good sound
"
36,"
I love these thingsPros:Batteries last longer than I ever need them toMy phone shows me a battery gaugeVery comfortable.No rubber gummy things!Sound quality is good, no tin can sounds here!Compact chargerEasy pairingDurableCons:USB-C port (although it comes with a cable, I just dont like these ports)Sometimes ‘skips’ when playing music on my phone, whereas, other devices do not.
"
37,"
I love these headphones. After going through two pairs of AirPods in two years (both of them mysteriously died on me), I didn’t want to throw away a few hundred bucks for a third time, but I really loved the convenience of the AirPod. Having been scorned by dupes a few times in the past I was skeptical about these, but now 4 months into 1-5 hours of daily use (and use in the shower) and they’ve been great and are going strong. Honestly even if they died now I’d rebuy for the price. My only complaint is that they’re sometimes glitchy when they get super wet but really it’s no big deal. I definitely recommend.
"
38,"
I bought a pair of 1st generation ipods about 1 year and a half ago. I didn't realize they were already outdated when I got them from Bestbuy. I paid around $125. I had problems with one ear pod not working for the entire year I owned them and now a year and half later, I can't charge them. So I tried out the ear pods instead. So far, they work great. The battery life is superior to Apple and the sound quality is good. There is slightly less bass compared to Ipods but it doesn't bother me and I am a professional musician. Save the $100 bucks and get these instead of Apple Ipods, that's my advice.
"
39,"
I love these items.  Headphones with the silicon earbud never fit properly and it was a relief to find a product that securely fits comfortably in my ear.  The sound and microphone quality are both good, especially for something so reasonably priced.  One warning: Be sure to remove the small pieces of tape from the ends of the earpieces before you try to pair them.  I kept them on, wanting to test them before I decided if I was going to keep them.  It caused endless problems until I saw another reviewer here say ""take the plastic fully off"" and then they worked effortlessly.  Great product.
"
40,"
Bueno
"
41,"
I wanted a pair of ear buds I could use when I go walking.  I needed an inexpensive product so I wouldn't be horrified if I lost one.  These buds deliver adequate performance, are easy for a senior citizen like me to use, and are convenient to carry around in their case.  The stay charged long enough for my uses.  I mainly listen to voice in podcasts and audio books.  If you have strong musical preferences and are very sensitive to musical sound quality, you should check out reviews that cover this topic.  I am very satisfied with these ear buds and would buy them again.
"
42,"
Pretty disappointing, the battery doesn’t last as long as I expected it to, and while it works well for music, I have issues almost everytime I’m on a MS teams or phone call :/Update, after two months the sound is all jacked up and I will need to buy new headphones….. 8/10 would NOT recommend
"
43,"
For the money, these are great! The sound is good and they are comfortable. I'm only two complaints are the mic is very quite, many people on calls have a hard time hearing me and the ""charging/battery life indicator"" doesn't really make sense, so there's some guess work on keeping them charged.
"
44,"
These headphones are actually very nice, I was a bit skeptical at first but as soon as i tried them on they were very amazing. But there were a few problems regarding different apps making the sound quality bad. When i went on a piano app, the quality became very bad and It was sad. If i went to any app regarding making your own music, MusicStudio, Magic piano, the sound quality just became really bad, idk why thoe. But everything else is normal.
"
45,"
I've had these on hand for a few months now and they're not that bad. The sound quality is decent; although I wish the bass would have been better, you shouldn't expect much from on ear earbuds like these. However, I find that its battery life is great (maybe 1 full charge a week or two) and the functionality is pretty good. These earbuds are a nice fit and won't come off during a workout.
"
46,"
These worked out so well for the last months that I decided to get a second pair.I work outside all day and I can say my first pair functions like brand new. The reason I got two is so I can switch back and forth when ones charging I use the other. The battery life is about 3-4 hours consistently.I’ve been able to pair them with anything with Bluetooth without a problem. My iPhone. Laptop. Pc. Smart watch. TV. Car. No problems at all pairing.The only thing I wish it had was a battery level indicator but other than that, a lot of bang for the buck.
"
47,"
Sound quality is really awesome and the range covers a pretty good distance away from the phone.It's just my ears probably, but whenever I laugh or smile these ear buds fall out. They don't stay on that well when working out or having lively conversation.The magnet inside the case is pretty weak so if you drop it they 100% will go flying out of the case.
"
48,"
I bought this product to replace an old wired earbud headset.  The old wire headset had: a mic and a volume control button built-in.Other than using it for phone calls and music, I wasn't able to get much more use out of the product.  So, if you're looking for something that would suit these needs, then I think it's worth it.In addition to the above, I bought this so I can use it for Discord, WebEx, and Zoom meetings.  But the earbuds didn't seem to work well with any of these programs and hardly picked up the mic sensitive despite it being set up all the way.  I think if this was addressed along with an option of adjusting the sound on the earbuds, it would be perfect.
"
49,"
I got these for work when I had to return to the office 2 days a week and needed headphones for calls and video conferences. Only one earbud has worked the entire time I've had them despite troubleshooting the issue. They do hold a charge for a long time, but when you only have one working, it's disappointing. The sound quality is decent.
"
50,"
The headphones has a really nice sound quality, the battery life is really good and they are great to do my workout. The only minor thing is that they get disconnected for a few seconds if the phone is in my pocket making this a little bit annoy but overall, I really like them and for the price, you could not ask for more.
"
51,"
The elephant in the room: sound. They sound amazing for ""cheap"" Bluetooth headphones. Everything else about them was a plus. Battery life is about 3-4 hours which is about right. I'm hard of hearing and I only turn them up to 50% for music. They also fit good. One of my ears had major reconstructive surgery so both sides are shaped differently, and they don't fall out of either side. They work great for jamming out in the shower, touch features can be bothersome when wet but for $30 you can't beat these. Highly recommend
"
52,"
They fit perfect
"
53,"
If you're looking for a cheap pair of wireless earbuds, you've come to the right place. I use these daily and have had zero issue with them. Charges up USB-C. 3ish hours charge per ear. I typically wear 1 earbud at a time and keep the other one in the charging case. The earbud will announce that it has a low battery. The magnet in the case is strong and the earbuds fall right into place. All plastic construction with no rubber on the earbud. No issues with sensitive skin on the ear. Purchased in September 2020. Review written January 2021.
"
54,"
It's a great deal for the quality. Sounds are good. I wear at it work for my daily use. I use a printer and scanner with loud noises and I can still hear my podcasts clearly. The only complaint is it does hurt my ear after an hour of wear, so I will switch sides. Making and receiving phone calls are clear as well.
"
55,"
Light weight ear buds, fit my ears better than the rubber tip type. Only con I have is the range of these, if you don't have your device within 6 feet they don't work. Other than that I like them.
"
56,"
These headphones work perfectly.  They are comfortable in my ears and don't fall out with movement.  They connect instantly once the case is opened which prevents me from missing the beginning of conversations while waiting for them to connect. Love these.  The only downside is that they are super sensitive and I have accidentally ended calls while putting them in my ear because if your finger taps the earbuds, it ends the call.  Since learning that, I am super careful when putting them in my ear and I have not had any problems.
"
57,"
Sound quality is good for listening but when I use them for phone calls, people can't hear me very well. Purchased 2 pairs, and they both have the same problem. Other thank that, I like to use them for workouts. They don't fall out of your ear and they even work for my 7 year old.
"
58,"
Obviously what was most important to me and most likely to most people is the sound quality and the battery life for this item both of which I found to be beyond reproach I had to drive several hours on a road trip two days after I received this item I used These earphones the entire time and didn’t have any issues with having to recharge them during the drive and the sound quality I felt was perfect absolutely no complaints
"
59,"
They don't last long and be prepared for a high pitched fuzzy screeching right before the battery dies. Other than that they're fine.
"
60,"
...but otherwise these work well.  My husband and I both had trouble pairing these to our phones/tablets/etc, but once we got them paired, they work great.  I think the pairing issue has to do with the timing of getting the device and the pods to ""scan"" at exactly the same time.  But it also could be because we are not especially tech savvy, as well.
"
61,"
If you're looking for convenient, wireless bluetooth earbuds to take phone calls or listen to news, talk shows, etc you can go with these however, if you want some earbuds to listen to music and you expect a somewhat decent performance steer away from these. Although sound is clear, it completely and absolutely lacks ANY bass or even low mid-range. Just a quick reference for iPhone users ... the regular wired earbuds that come (or used to come) with the iPhone sound a whole lot better than these.
"
62,"
I really enjoy the battery life on these headphones! The only thing wrong is the Bluetooth, rarely it will auto disconnect and reconnect to my phone. Aside from that inconvenience the product is overall good.
"
63,"
I normally only use the right ear bud when I am at work.. as I need to be able to hear announcements etc...But when at the gym I like to have both.  The left one used to go in and out and now it does not work at all. I tired to pair and unpair like the videos say and it still does not work. I guess you get what you pay for.The sound (in the right ear bud) is perfect and the battery life is great which is why I have it 2 stars.
"
64,"
The apple in ear headphones have been the only in ear headphones that don't hurt my ears. Often would get a tender spot with other in ear ones. These are about (if not the) same size as apple ear pods so if you're looking for that as a factor for blue tooth headphones. Batteries maybe last 4-5 hours for me, longer if I'm not pausing the books I listen to.
"
65,"
La batería solo me duró 4hrs, fue del audífono derecho
"
66,"
I enjoyed the sound quality very much compared to other headphones, the battery life is pretty decent, and they fit in my ears without the irritation of constant readjusting (which is hard to find).  However, the right ear bud is defective and stopped working. Purchased 2nd week in February and it stopped working the last week of March. Of course, for the price I did not expect them to last a whole year or anything like that but damn only 6 weeks. It's a pity because I love everything else about them.
"
67,"
For what I want them for....they are great.  Just a quick way to have my music in a crowded place.  They are very comfortable.
"
68,"
This case is awkward and falls opens so easily. Dropped it like a foot when sitting down and the case flew open and immediately lost a bud. They're so easy to lose, but this case doesn't stay shut.
"
69,"
This is my first go-round at a pair of wireless earbuds. So far so good. The sound quality is just fine and the size is bearable. They aren't the most comfortable and they tend to fall out from time to time, but I'll take the blame for that and say it's the way my ears are shaped. 🤷🏻‍♀️
"
70,"
I have difficulty pairing, sometimes it works and sometimes not. I can spend forever trying to pair it with a device and will do the same thing a couple of days later and it works fine. Might be unique to my device, but it is annoying. Sound is ok but can be too low at times. However, I have 2 toddlers and a newborn, so who can compete with that?! I would have spent more money on a better quality product.
"
71,"
I have been using these air pods for around 4 months now and I have no complaints.The sound quality is crystal clear, battery life is great and they sit in my ear comfortably even when I am running.Update:Approaching one year of usage and it is still going strong. The only drawback is that I have been told that I sound muffled when I am on a telephone call with someone.
"
72,"
Great for working out! Sound is clear, easy to switch from listening to jams to answering calls. Comfy fit, sleek design and great battery life. Super easy to connect to bluetooth. I have a pair of AirPods, but wanted something less pricey for the gym. These fit the need.I now find that I use these as my go-to ear buds everyday!Can't beat the price for the quality.Plan on buying another pair for my wife.
"
73,"
I was looking a cost effective solution to meet my busy lifestyle for long phone calls, exercise, walks, music, pod casts and a good fit for my sensitive ears. I went through several pairs before giving these a try. Great choice!
"
74,"
Wonderful earbuds the sound is great good base they stay in your ears when I’m on the tractor and they hit you busy to my phone people can understand me when I talk to them on the phone and they never know that I’m not talking into my phone everything works great
"
75,"
The way it works, as ad states.
"
76,"
Decent pair of headphones for good price. I haven't tested it on a full blast, but they will hold stay on for half of a day with 70% of max volume non stop music. I personally like this type because it hold in the ear just fine and you don't have to constantly fix it when it gets loose. I've used them while mountain skiing and didn't have any problems. Very easy to connect to the phone.
"
77,"
Wonderful earbuds, super comfortable amazing for working out or even just doing chores around the house. The battery life is pretty decent and the sound quality was too notch. They charge really fast too. The only thing I didn't like was how short the charging cord is, but it works with other cords too. I accidentally dropped one in water and it still works like a charm. 10/10 would recommend to anyone.
"
78,"
I've had these earbuds for about 3 to 4 months now probably. At first they worked wonderfully the sound quality was amazing I could get calls and people could hear me I could hear them fine. My mom even accidentally threw one of them in the washer with one of my hoodies and it worked fine after that but one day one of the ears started to get really low even though the volume was up loud as it could go and now if I get a call no one can hear me through these earbuds. Sometimes the signal will drop from the Bluetooth and the music will stop randomly if I'm listening to music and the touch sensors don't totally work anymore. But I guess you get what you pay for there are worth the money for the first couple months but after that they're only good for listening to music for a couple hours.
"
79,"
I've had these for about a month and they have worked flawlessly.  The connection has never dropped and they connect quickly when I take them out of the case.  The sound quality for phone calls has been tremendous.  There seems to be no loss of sound quality when compared to holding the headset the old fashion way.  They make phone calls much more convenient.  I don't see any reason to pay more.
"
80,"
They are good I like them! The battery life is not 30 hours but it lasts about two hours which suits me fine.
"
81,"
Very comfortable, phone calls are clear, battery life is decent, but music sound is weak and tingy. They're perfect for the price.. Stays in your ear while working out too.
"
82,"
These are great! The sound quality surprised me on how much bass there was. They are comfortable to wear and are easy to connect and put away again. Perfect for working out because there's no annoying cord to get in the way
"
83,"
This product does not hold a charge long.  After about 20 minutes, distortion begins.  The sounds get very glitchy and then connection is lost.  Would not recommend.
"
84,"
Pairing was super easy, but the sound occasionally goes out for a split second in either ear earbud or both. They don’t disconnect, the sound just goes out. But for the price, I guess I can’t really complain. I don’t regret buying them.
"
85,"
They don’t fit in my ear perfectly, and the sound quality isn’t the best, but overall for the cost, I thought they were good.
"
86,"
returned, sound ok for Kindle use other than just a few minutes of use I couldn't really test these.
"
87,"
Sound quality very good sound ,,,baut the battery live is not to good ,,I use for calling my wife full charge olny for less than 3hrs ..
"
